circle,kpi,periodicity,range,PeriodYear,PeriodMonth,Value,id
HR,share of teams constituted as circles,month,0 <= % <= 100,2021,1,1.1012740928967700,0.0
HR,share of teams constituted as circles,month,0 <= % <= 100,2021,2,1.25902311088696,0.0
HR,share of teams constituted as circles,month,0 <= % <= 100,2021,3,1.7525861756746100,0.0
HR,share of teams constituted as circles,month,0 <= % <= 100,2021,4,2.3297233226631900,0.0
HR,share of teams constituted as circles,month,0 <= % <= 100,2021,5,2.4283475836484600,0.0
HR,share of teams constituted as circles,month,0 <= % <= 100,2021,6,3.088287025052910,0.0
HR,share of teams constituted as circles,month,0 <= % <= 100,2021,7,3.3073373684951400,0.0
HR,share of teams constituted as circles,month,0 <= % <= 100,2021,8,4.64943179380917,0.0
HR,share of teams constituted as circles,month,0 <= % <= 100,2021,9,4.591093342968290,0.0
HR,share of teams constituted as circles,month,0 <= % <= 100,2021,10,4.994354876087280,0.0
HR,share of teams constituted as circles,month,0 <= % <= 100,2021,11,5.8217846200446500,0.0
HR,share of teams constituted as circles,month,0 <= % <= 100,2021,12,7.434763559003740,0.0
HR,share of teams constituted as circles,month,0 <= % <= 100,2022,1,8.813064754179670,0.0
HR,share of teams constituted as circles,month,0 <= % <= 100,2022,2,12.047359541857800,0.0
HR,share of teams constituted as circles,month,0 <= % <= 100,2022,3,13.680266889193900,0.0
HR,share of teams constituted as circles,month,0 <= % <= 100,2022,4,11.150423719743100,0.0
HR,share of teams constituted as circles,month,0 <= % <= 100,2022,5,12.437133460255300,0.0
HR,share of teams constituted as circles,month,0 <= % <= 100,2022,6,13.69614202519990,0.0
HR,share of teams constituted as circles,month,0 <= % <= 100,2022,7,17.899295842419200,0.0
HR,share of teams constituted as circles,month,0 <= % <= 100,2022,8,19.424609134719000,0.0
HR,share of teams constituted as circles,month,0 <= % <= 100,2022,9,23.95487729872500,0.0
HR,share of teams constituted as circles,month,0 <= % <= 100,2022,10,23.952132046852100,0.0
HR,share of teams constituted as circles,month,0 <= % <= 100,2022,11,23.92547770625940,0.0
HR,share of teams constituted as circles,month,0 <= % <= 100,2022,12,27.870753282590800,0.0
HR,share of teams constituted as circles,month,0 <= % <= 100,2023,1,35.0,0.0
HR,share of teams constituted as circles,month,0 <= % <= 100,2023,2,50.0,0.0
HR,share of teams constituted as circles,month,0 <= % <= 100,2023,3,50.0,0.0
HR,share of teams constituted as circles,month,0 <= % <= 100,2023,4,55.0,0.0
HR,share of teams constituted as circles,month,0 <= % <= 100,2023,5,70.0,0.0
HR,share of teams constituted as circles,month,0 <= % <= 100,2023,6,80.0,0.0
HR,share of teams constituted as circles,month,0 <= % <= 100,2023,7,85.0,0.0
HR,share of teams constituted as circles,month,0 <= % <= 100,2023,8,90.0,0.0
HR,share of teams constituted as circles,month,0 <= % <= 100,2023,9,,0.0
HR,share of teams constituted as circles,month,0 <= % <= 100,2023,10,,0.0
HR,share of teams constituted as circles,month,0 <= % <= 100,2023,11,,0.0
HR,share of teams constituted as circles,month,0 <= % <= 100,2023,12,,0.0
HR,share short tern leave,month,0 <= % <= 100,2021,1,2.066025798681490,1.0
HR,share short tern leave,month,0 <= % <= 100,2021,2,1.3977273691408200,1.0
HR,share short tern leave,month,0 <= % <= 100,2021,3,2.4654648157755300,1.0
HR,share short tern leave,month,0 <= % <= 100,2021,4,2.403779972777190,1.0
HR,share short tern leave,month,0 <= % <= 100,2021,5,1.7067276619975400,1.0
HR,share short tern leave,month,0 <= % <= 100,2021,6,2.7419996636118300,1.0
HR,share short tern leave,month,0 <= % <= 100,2021,7,2.680419273951620,1.0
HR,share short tern leave,month,0 <= % <= 100,2021,8,2.3067207786867800,1.0
HR,share short tern leave,month,0 <= % <= 100,2021,9,1.8781441738253700,1.0
HR,share short tern leave,month,0 <= % <= 100,2021,10,2.870576881554000,1.0
HR,share short tern leave,month,0 <= % <= 100,2021,11,1.1072056469355400,1.0
HR,share short tern leave,month,0 <= % <= 100,2021,12,2.2177158522607600,1.0
HR,share short tern leave,month,0 <= % <= 100,2022,1,1.7822833716156100,1.0
HR,share short tern leave,month,0 <= % <= 100,2022,2,2.054881549343940,1.0
HR,share short tern leave,month,0 <= % <= 100,2022,3,2.3101376825388300,1.0
HR,share short tern leave,month,0 <= % <= 100,2022,4,2.1545476948236900,1.0
HR,share short tern leave,month,0 <= % <= 100,2022,5,2.9395652398711500,1.0
HR,share short tern leave,month,0 <= % <= 100,2022,6,2.3146248746054200,1.0
HR,share short tern leave,month,0 <= % <= 100,2022,7,3.9326092476631800,1.0
HR,share short tern leave,month,0 <= % <= 100,2022,8,2.2666255209079600,1.0
HR,share short tern leave,month,0 <= % <= 100,2022,9,2.1452916531124900,1.0
HR,share short tern leave,month,0 <= % <= 100,2022,10,2.080175819166930,1.0
HR,share short tern leave,month,0 <= % <= 100,2022,11,2.589316603551290,1.0
HR,share short tern leave,month,0 <= % <= 100,2022,12,2.5620329773038600,1.0
HR,share short tern leave,month,0 <= % <= 100,2023,1,2.04,1.0
HR,share short tern leave,month,0 <= % <= 100,2023,2,2.2,1.0
HR,share short tern leave,month,0 <= % <= 100,2023,3,2.54,1.0
HR,share short tern leave,month,0 <= % <= 100,2023,4,2.17,1.0
HR,share short tern leave,month,0 <= % <= 100,2023,5,3.3,1.0
HR,share short tern leave,month,0 <= % <= 100,2023,6,2.58,1.0
HR,share short tern leave,month,0 <= % <= 100,2023,7,2.04,1.0
HR,share short tern leave,month,0 <= % <= 100,2023,8,0.93,1.0
HR,share short tern leave,month,0 <= % <= 100,2023,9,,1.0
HR,share short tern leave,month,0 <= % <= 100,2023,10,,1.0
HR,share short tern leave,month,0 <= % <= 100,2023,11,,1.0
HR,share short tern leave,month,0 <= % <= 100,2023,12,,1.0
HR,involuntary headcount change (FTE),month,0 <= % <= 100,2021,1,2.67676512540249,2.0
HR,involuntary headcount change (FTE),month,0 <= % <= 100,2021,2,2.5250623081586300,2.0
HR,involuntary headcount change (FTE),month,0 <= % <= 100,2021,3,1.4640984152104200,2.0
HR,involuntary headcount change (FTE),month,0 <= % <= 100,2021,4,1.3251324249971600,2.0
HR,involuntary headcount change (FTE),month,0 <= % <= 100,2021,5,0.5915647320905300,2.0
HR,involuntary headcount change (FTE),month,0 <= % <= 100,2021,6,0.6480223839977980,2.0
HR,involuntary headcount change (FTE),month,0 <= % <= 100,2021,7,0.37282548895108200,2.0
HR,involuntary headcount change (FTE),month,0 <= % <= 100,2021,8,1.2700312676988500,2.0
HR,involuntary headcount change (FTE),month,0 <= % <= 100,2021,9,0.00014716104829215500,2.0
HR,involuntary headcount change (FTE),month,0 <= % <= 100,2021,10,0.37653069307475100,2.0
HR,involuntary headcount change (FTE),month,0 <= % <= 100,2021,11,1.6506938656301300,2.0
HR,involuntary headcount change (FTE),month,0 <= % <= 100,2021,12,0.0615033514949179,2.0
